source_ref,workstream,schedule,entity_or_item,period_or_as_of,case,metric_or_driver,numeric_value,text_or_decision,units,source_or_owner,source_date,system_tie
DEV-00030,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2026-04,Approved case,Operating expense before D&A,762000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00031,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2026-05,Approved case,Revenue,2670000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00032,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2026-05,Approved case,Gross profit,937.17,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00033,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2026-05,Approved case,Operating expense before D&A,770000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00034,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2026-06,Approved case,Revenue,2712000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00035,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2026-06,Approved case,Gross profit,941063.9999999999,,USD,Finance operating schedule,2026-06-30,
DEV-00036,Redwood Controls quality-of-earnings normalization,Redwood monthly P&L,Target,2026-06,Approved case,Operating expense before D&A,778.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00070,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-07,Approved case,Trade AR,4050000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00071,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-07,Approved case,Inventory,1150000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00072,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-07,Approved case,Trade AP,2020000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00073,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-07,Approved case,Accrued operating liabilities,430.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00074,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-07,Approved case,Deferred revenue,290000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00075,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-08,Approved case,Trade AR,4105000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00076,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-08,Approved case,Inventory,1168000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00077,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-08,Approved case,Trade AP,2055.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00078,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-08,Approved case,Accrued operating liabilities,435000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00079,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-08,Approved case,Deferred revenue,294000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00080,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-09,Approved case,Trade AR,4160000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00081,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-09,Approved case,Inventory,1186.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00082,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-09,Approved case,Trade AP,2090000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00083,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-09,Approved case,Accrued operating liabilities,440000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00084,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-09,Approved case,Deferred revenue,298000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00085,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-10,Approved case,Trade AR,4215.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00086,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-10,Approved case,Inventory,1204000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00087,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-10,Approved case,Trade AP,2125000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00088,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-10,Approved case,Accrued operating liabilities,445000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00089,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-10,Approved case,Deferred revenue,302.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00090,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-11,Approved case,Trade AR,4270000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00091,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-11,Approved case,Inventory,1222000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00092,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-11,Approved case,Trade AP,2160000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00093,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-11,Approved case,Accrued operating liabilities,450.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00094,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-11,Approved case,Deferred revenue,306000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00095,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-12,Approved case,Trade AR,4945000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00096,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-12,Approved case,Inventory,1240000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00097,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-12,Approved case,Trade AP,2195.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00098,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-12,Approved case,Accrued operating liabilities,455000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00099,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2025-12,Approved case,Deferred revenue,310000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00100,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-01,Approved case,Trade AR,5000000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00101,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-01,Approved case,Inventory,1258.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00102,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-01,Approved case,Trade AP,2710000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00103,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-01,Approved case,Accrued operating liabilities,460000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00104,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-01,Approved case,Deferred revenue,314000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00105,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-02,Approved case,Trade AR,4435.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00106,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-02,Approved case,Inventory,1276000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00107,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-02,Approved case,Trade AP,2265000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00108,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-02,Approved case,Accrued operating liabilities,465000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00109,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-02,Approved case,Deferred revenue,318.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00110,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-03,Approved case,Trade AR,4490000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00111,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-03,Approved case,Inventory,1294000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00112,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-03,Approved case,Trade AP,2300000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00113,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-03,Approved case,Accrued operating liabilities,470.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00114,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-03,Approved case,Deferred revenue,322000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00115,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-04,Approved case,Trade AR,4545000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00116,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-04,Approved case,Inventory,1312000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00117,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-04,Approved case,Trade AP,2335.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00118,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-04,Approved case,Accrued operating liabilities,475000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00119,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-04,Approved case,Deferred revenue,326000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00120,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-05,Approved case,Trade AR,4600000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00121,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-05,Approved case,Inventory,1330.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00122,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-05,Approved case,Trade AP,2370000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00123,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-05,Approved case,Accrued operating liabilities,480000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00124,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-05,Approved case,Deferred revenue,330000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00125,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-06,Approved case,Trade AR,4655.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00126,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-06,Approved case,Inventory,1348000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00127,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-06,Approved case,Trade AP,2405000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00128,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-06,Approved case,Accrued operating liabilities,485000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00129,BluePeak normalized working-capital peg,Historical normalized NWC,BluePeak,2026-06,Approved case,Deferred revenue,334.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00130,BluePeak normalized working-capital peg,Estimated closing balance sheet,Undisputed trade receivables,Estimated closing,Approved case,Balance,4100000.0,,USD,Current data-room closing balance export,2026-06-30,
DEV-00131,BluePeak normalized working-capital peg,Estimated closing balance sheet,Inventory,Estimated closing,Approved case,Balance,1420000.0,,USD,Current data-room closing balance export,2026-06-30,
DEV-00132,BluePeak normalized working-capital peg,Estimated closing balance sheet,Trade accounts payable,Estimated closing,Approved case,Balance,2490000.0,,USD,Current data-room closing balance export,2026-06-30,
DEV-00133,BluePeak normalized working-capital peg,Estimated closing balance sheet,Payroll and benefits accrual,Estimated closing,Approved case,Balance,310.0,,USD thousands,Current data-room closing balance export,2026-06-30,
DEV-00134,BluePeak normalized working-capital peg,Estimated closing balance sheet,Warranty and service accrual,Estimated closing,Approved case,Balance,210000.0,,USD,Current data-room closing balance export,2026-06-30,
DEV-00135,BluePeak normalized working-capital peg,Estimated closing balance sheet,Customer deposits and deferred revenue,Estimated closing,Approved case,Balance,360000.0,,USD,Current data-room closing balance export,2026-06-30,
DEV-00136,BluePeak normalized working-capital peg,Estimated closing balance sheet,Disputed change-order receivable,Estimated closing,Approved case,Balance,320000.0,,USD,Current data-room closing balance export,2026-06-30,
DEV-00137,BluePeak normalized working-capital peg,Estimated closing balance sheet,Prepaid insurance,Estimated closing,Approved case,Balance,210.0,,USD thousands,Current data-room closing balance export,2026-06-30,
DEV-00138,BluePeak normalized working-capital peg,Estimated closing balance sheet,Income tax receivable,Estimated closing,Approved case,Balance,140000.0,,USD,Current data-room closing balance export,2026-06-30,
DEV-00139,BluePeak normalized working-capital peg,Estimated closing balance sheet,Intercompany receivable,Estimated closing,Approved case,Balance,95000.0,,USD,Current data-room closing balance export,2026-06-30,
DEV-00140,BluePeak normalized working-capital peg,Estimated closing balance sheet,Seller transaction bonuses,Estimated closing,Approved case,Balance,180000.0,,USD,Current data-room closing balance export,2026-06-30,
DEV-00141,BluePeak normalized working-capital peg,Estimated closing balance sheet,Capital expenditure accrual,Estimated closing,Approved case,Balance,275.0,,USD thousands,Current data-room closing balance export,2026-06-30,
DEV-00158,Create the Northstar standalone DCF,Historical,Northstar,2026A,Approved case,Revenue,31500000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00159,Create the Northstar standalone DCF,Forecast,Northstar,2027,Approved case,Revenue growth,0.105,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00160,Create the Northstar standalone DCF,Forecast,Northstar,2027,Approved case,EBIT margin,0.185,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00161,Create the Northstar standalone DCF,Forecast,Northstar,2027,Approved case,D&A percent of revenue,0.03,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00162,Create the Northstar standalone DCF,Forecast,Northstar,2027,Approved case,Capex percent of revenue,0.045,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00163,Create the Northstar standalone DCF,Forecast,Northstar,2027,Approved case,NWC investment percent of revenue,0.018,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00164,Create the Northstar standalone DCF,Forecast,Northstar,2028,Approved case,Revenue growth,0.095,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00165,Create the Northstar standalone DCF,Forecast,Northstar,2028,Approved case,EBIT margin,0.192,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00166,Create the Northstar standalone DCF,Forecast,Northstar,2028,Approved case,D&A percent of revenue,0.031,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00167,Create the Northstar standalone DCF,Forecast,Northstar,2028,Approved case,Capex percent of revenue,0.043,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00168,Create the Northstar standalone DCF,Forecast,Northstar,2028,Approved case,NWC investment percent of revenue,0.017,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00169,Create the Northstar standalone DCF,Forecast,Northstar,2029,Approved case,Revenue growth,0.085,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00170,Create the Northstar standalone DCF,Forecast,Northstar,2029,Approved case,EBIT margin,0.2,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00171,Create the Northstar standalone DCF,Forecast,Northstar,2029,Approved case,D&A percent of revenue,0.032,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00172,Create the Northstar standalone DCF,Forecast,Northstar,2029,Approved case,Capex percent of revenue,0.041,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00173,Create the Northstar standalone DCF,Forecast,Northstar,2029,Approved case,NWC investment percent of revenue,0.016,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00174,Create the Northstar standalone DCF,Forecast,Northstar,2030,Approved case,Revenue growth,0.075,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00175,Create the Northstar standalone DCF,Forecast,Northstar,2030,Approved case,EBIT margin,0.205,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00176,Create the Northstar standalone DCF,Forecast,Northstar,2030,Approved case,D&A percent of revenue,0.033,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00177,Create the Northstar standalone DCF,Forecast,Northstar,2030,Approved case,Capex percent of revenue,0.039,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00178,Create the Northstar standalone DCF,Forecast,Northstar,2030,Approved case,NWC investment percent of revenue,0.015,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00179,Create the Northstar standalone DCF,Forecast,Northstar,2031,Approved case,Revenue growth,0.065,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00180,Create the Northstar standalone DCF,Forecast,Northstar,2031,Approved case,EBIT margin,0.208,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00181,Create the Northstar standalone DCF,Forecast,Northstar,2031,Approved case,D&A percent of revenue,0.034,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00182,Create the Northstar standalone DCF,Forecast,Northstar,2031,Approved case,Capex percent of revenue,0.038,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00183,Create the Northstar standalone DCF,Forecast,Northstar,2031,Approved case,NWC investment percent of revenue,0.014,,decimal ratio,Finance operating schedule,2026-06-30,
DEV-00321,Service division divestiture carve-out,Service division P&L,Service division,2025-07,Approved case,Revenue,3100000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00322,Service division divestiture carve-out,Service division P&L,Service division,2025-07,Approved case,Gross profit,1116000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00323,Service division divestiture carve-out,Service division P&L,Service division,2025-07,Approved case,Direct operating expense,620000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00324,Service division divestiture carve-out,Service division P&L,Service division,2025-08,Approved case,Revenue,3135.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00325,Service division divestiture carve-out,Service division P&L,Service division,2025-08,Approved case,Gross profit,1128600.0,,USD,Finance operating schedule,2026-06-30,
DEV-00326,Service division divestiture carve-out,Service division P&L,Service division,2025-08,Approved case,Direct operating expense,626000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00327,Service division divestiture carve-out,Service division P&L,Service division,2025-09,Approved case,Revenue,3170000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00328,Service division divestiture carve-out,Service division P&L,Service division,2025-09,Approved case,Gross profit,1141.2,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00329,Service division divestiture carve-out,Service division P&L,Service division,2025-09,Approved case,Direct operating expense,632000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00330,Service division divestiture carve-out,Service division P&L,Service division,2025-10,Approved case,Revenue,3205000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00331,Service division divestiture carve-out,Service division P&L,Service division,2025-10,Approved case,Gross profit,1153800.0,,USD,Finance operating schedule,2026-06-30,
DEV-00332,Service division divestiture carve-out,Service division P&L,Service division,2025-10,Approved case,Direct operating expense,638.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00333,Service division divestiture carve-out,Service division P&L,Service division,2025-11,Approved case,Revenue,3240000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00334,Service division divestiture carve-out,Service division P&L,Service division,2025-11,Approved case,Gross profit,1166400.0,,USD,Finance operating schedule,2026-06-30,
DEV-00335,Service division divestiture carve-out,Service division P&L,Service division,2025-11,Approved case,Direct operating expense,644000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00336,Service division divestiture carve-out,Service division P&L,Service division,2025-12,Approved case,Revenue,3275.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00337,Service division divestiture carve-out,Service division P&L,Service division,2025-12,Approved case,Gross profit,1179000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00338,Service division divestiture carve-out,Service division P&L,Service division,2025-12,Approved case,Direct operating expense,650000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00339,Service division divestiture carve-out,Service division P&L,Service division,2026-01,Approved case,Revenue,3310000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00340,Service division divestiture carve-out,Service division P&L,Service division,2026-01,Approved case,Gross profit,1191.6,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00341,Service division divestiture carve-out,Service division P&L,Service division,2026-01,Approved case,Direct operating expense,656000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00342,Service division divestiture carve-out,Service division P&L,Service division,2026-02,Approved case,Revenue,3345000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00343,Service division divestiture carve-out,Service division P&L,Service division,2026-02,Approved case,Gross profit,1204200.0,,USD,Finance operating schedule,2026-06-30,
DEV-00344,Service division divestiture carve-out,Service division P&L,Service division,2026-02,Approved case,Direct operating expense,662.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00345,Service division divestiture carve-out,Service division P&L,Service division,2026-03,Approved case,Revenue,3380000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00346,Service division divestiture carve-out,Service division P&L,Service division,2026-03,Approved case,Gross profit,1216800.0,,USD,Finance operating schedule,2026-06-30,
DEV-00347,Service division divestiture carve-out,Service division P&L,Service division,2026-03,Approved case,Direct operating expense,668000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00348,Service division divestiture carve-out,Service division P&L,Service division,2026-04,Approved case,Revenue,3415.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00349,Service division divestiture carve-out,Service division P&L,Service division,2026-04,Approved case,Gross profit,1229400.0,,USD,Finance operating schedule,2026-06-30,
DEV-00350,Service division divestiture carve-out,Service division P&L,Service division,2026-04,Approved case,Direct operating expense,674000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00351,Service division divestiture carve-out,Service division P&L,Service division,2026-05,Approved case,Revenue,3450000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00352,Service division divestiture carve-out,Service division P&L,Service division,2026-05,Approved case,Gross profit,1242.0,,USD thousands,Finance operating schedule,2026-06-30,
DEV-00353,Service division divestiture carve-out,Service division P&L,Service division,2026-05,Approved case,Direct operating expense,680000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00354,Service division divestiture carve-out,Service division P&L,Service division,2026-06,Approved case,Revenue,3485000.0,,USD,Finance operating schedule,2026-06-30,
DEV-00355,Service division divestiture carve-out,Service division P&L,Service division,2026-06,Approved case,Gross profit,1254600.0,,USD,Finance operating schedule,2026-06-30,
DEV-00356,Service division divestiture carve-out,Service division P&L,Service division,2026-06,Approved case,Direct operating expense,686.0,,USD thousands,Finance operating schedule,2026-06-30,
