line_ref,accounting_period,posting_state,source_batch,journal_reference,department_code,account,debit,credit,source_module,activity_date
VBH-027,2026-06,POSTED 7/03 13:27,CT-019,JN-8770,40,4100 Contract revenue - debit / (credit),126880.0,,Vista billing cut-off,2026-07-03
VBH-028,2026-06,POSTED 7/03 13:27,CT-019,JN-8770,40,5100 Direct job cost - debit / (credit),,76612.4,Vista billing cut-off,2026-07-03
VBH-029,2026-06,POSTED 7/03 15:08,CT-021,JN-8812,40,4100 Contract revenue - debit / (credit),,30000.0,Vista billing cut-off,2026-07-03
VBH-030,2026-06,POSTED 7/03 15:08,CT-021,JN-8812,40,5100 Direct job cost - debit / (credit),18000.0,,Vista billing cut-off,2026-07-03
VBH-031,2026-06,PARKED 7/03 17:58,CT-026,JN-8842,40,4100 Contract revenue - debit / (credit),44000.0,,Vista billing cut-off,2026-07-03
VBH-032,2026-06,PARKED 7/03 17:58,CT-026,JN-8842,40,5100 Direct job cost - debit / (credit),,26576.0,Vista billing cut-off,2026-07-03
VBH-033,2026-06,POSTED 7/04 08:12,BC-128,JN-8861,20,4100 Contract revenue - debit / (credit),300000.0,,Vista billing cut-off,2026-07-04
VBH-034,2026-06,POSTED 7/04 08:12,BC-128,JN-8861,20,5100 Direct job cost - debit / (credit),,168000.0,Vista billing cut-off,2026-07-04
VBH-035,2026-06,POSTED 7/04 11:46,SV-058,JN-8867,30,4100 Contract revenue - debit / (credit),180000.0,,Vista billing cut-off,2026-07-04
VBH-036,2026-06,POSTED 7/04 11:46,SV-058,JN-8867,30,5100 Direct job cost - debit / (credit),,90000.0,Vista billing cut-off,2026-07-04
VBH-037,2026-06,POSTED 7/05 07:18,CT-033,JN-8874,40,4100 Contract revenue - debit / (credit),,120000.0,Vista billing cut-off,2026-07-05
VBH-038,2026-06,POSTED 7/05 07:18,CT-033,JN-8874,40,5100 Direct job cost - debit / (credit),72000.0,,Vista billing cut-off,2026-07-05
VBH-039,2026-06,DRAFT 7/05 07:40,BC-130,JN-8878,20,4100 Contract revenue - debit / (credit),315000.0,,Vista billing cut-off,2026-07-05
VBH-040,2026-06,DRAFT 7/05 07:40,BC-130,JN-8878,20,5100 Direct job cost - debit / (credit),,176400.0,Vista billing cut-off,2026-07-05
VBH-041,2026-06,VOIDED 7/05 07:52,SV-060,JN-8880,30,4100 Contract revenue - debit / (credit),205000.0,,Vista billing cut-off,2026-07-05
VBH-042,2026-06,VOIDED 7/05 07:52,SV-060,JN-8880,30,5100 Direct job cost - debit / (credit),,102500.0,Vista billing cut-off,2026-07-05
VBH-043,2026-07,POSTED 7/05 08:03,CT-035,JN-8883,40,4100 Contract revenue - debit / (credit),225000.0,,Vista billing cut-off,2026-07-05
VBH-044,2026-07,POSTED 7/05 08:03,CT-035,JN-8883,40,5100 Direct job cost - debit / (credit),,135000.0,Vista billing cut-off,2026-07-05
VBH-045,2026-06,POSTED 7/03 17:32,BC-126,JN-8857,20,4100 Contract revenue - debit / (credit),180000.0,,Vista billing cut-off,2026-07-03
VBH-046,2026-06,POSTED 7/03 17:32,BC-126,JN-8857,20,5100 Direct job cost - debit / (credit),,100800.0,Vista billing cut-off,2026-07-03
VBH-047,2026-06,POSTED REVERSAL 7/03 17:33,BC-126,JN-8858,20,4100 Contract revenue - debit / (credit),,180000.0,Vista billing cut-off,2026-07-03
VBH-048,2026-06,POSTED REVERSAL 7/03 17:33,BC-126,JN-8858,20,5100 Direct job cost - debit / (credit),100800.0,,Vista billing cut-off,2026-07-03
