source_ref,workstream,schedule,entity_or_item,period_or_as_of,case,metric_or_driver,numeric_value,text_or_decision,units,source_or_owner,source_date,system_tie
TAX-00113,Multistate income-tax apportionment,State apportionment,Washington,FY26,Approved case,Statutory tax rate,0.015,,decimal ratio,Finance operating schedule,2026-06-30,
TAX-00114,Multistate income-tax apportionment,State apportionment,Washington,FY26,Approved case,Available state NOL,0.0,,USD,Finance operating schedule,2026-06-30,
TAX-00115,Multistate income-tax apportionment,State apportionment,California,FY26,Approved case,Sales factor numerator,9800000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00116,Multistate income-tax apportionment,State apportionment,California,FY26,Approved case,Property factor numerator,2600.0,,USD thousands,Finance operating schedule,2026-06-30,
TAX-00117,Multistate income-tax apportionment,State apportionment,California,FY26,Approved case,Payroll factor numerator,3100000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00118,Multistate income-tax apportionment,State apportionment,California,FY26,Approved case,Statutory tax rate,0.0884,,decimal ratio,Finance operating schedule,2026-06-30,
TAX-00119,Multistate income-tax apportionment,State apportionment,California,FY26,Approved case,Available state NOL,1150000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00120,Multistate income-tax apportionment,State apportionment,Idaho,FY26,Approved case,Sales factor numerator,6200.0,,USD thousands,Finance operating schedule,2026-06-30,
TAX-00121,Multistate income-tax apportionment,State apportionment,Idaho,FY26,Approved case,Property factor numerator,1500000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00122,Multistate income-tax apportionment,State apportionment,Idaho,FY26,Approved case,Payroll factor numerator,1700000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00123,Multistate income-tax apportionment,State apportionment,Idaho,FY26,Approved case,Statutory tax rate,0.058,,decimal ratio,Finance operating schedule,2026-06-30,
TAX-00124,Multistate income-tax apportionment,State apportionment,Idaho,FY26,Approved case,Available state NOL,420.0,,USD thousands,Finance operating schedule,2026-06-30,
TAX-00140,Adjusted EBITDA and non-GAAP reconciliation,Posted P&L,Alder Ridge,LTM 2026-06-30,Approved case,Revenue,1.0,,ledger allocation factor,Finance operating schedule,2026-06-30,"Vista ERP P&L, 2025-07-01 through 2026-06-30; Revenue total"
TAX-00141,Adjusted EBITDA and non-GAAP reconciliation,Posted P&L,Alder Ridge,LTM 2026-06-30,Approved case,EBITDA,1.0,,ledger allocation factor,Finance operating schedule,2026-06-30,Vista ERP P&L plus general-ledger account 6700; Revenue less Cost of Revenue and Operating Expense plus Depreciation
TAX-00165,Service deferred-revenue recognition forecast,Contract schedule,Cascade Health C-1013,2026-06-30,Approved case,Cash billed in advance,2400000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00166,Service deferred-revenue recognition forecast,Contract schedule,Cascade Health C-1013,2026-06-30,Approved case,Transaction price,2400000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00167,Service deferred-revenue recognition forecast,Contract schedule,Cascade Health C-1013,2026-06-30,Approved case,Maintenance standalone selling price,1500000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00168,Service deferred-revenue recognition forecast,Contract schedule,Cascade Health C-1013,2026-06-30,Approved case,Monitoring standalone selling price,600.0,,USD thousands,Finance operating schedule,2026-06-30,
TAX-00169,Service deferred-revenue recognition forecast,Contract schedule,Cascade Health C-1013,2026-06-30,Approved case,Implementation standalone selling price,300000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00170,Service deferred-revenue recognition forecast,Contract schedule,Cascade Health C-1013,2026-06-30,Approved case,Service coverage start,,2026-01-15,classification,Finance operating schedule,2026-06-30,
TAX-00171,Service deferred-revenue recognition forecast,Contract schedule,Cascade Health C-1013,2026-06-30,Approved case,Service coverage end,,2027-12-31,classification,Finance operating schedule,2026-06-30,
TAX-00172,Service deferred-revenue recognition forecast,Contract schedule,Cascade Health C-1013,2026-06-30,Approved case,Implementation completion date,,2026-07-31,classification,Finance operating schedule,2026-06-30,
TAX-00173,Service deferred-revenue recognition forecast,Contract schedule,Cascade Health C-1013,2026-06-30,Approved case,Cancellation effective date,,None before 2026-12-31,classification,Finance operating schedule,2026-06-30,
TAX-00174,Service deferred-revenue recognition forecast,Contract schedule,Eastbank Data C-1042,2026-06-30,Approved case,Cash billed in advance,1500000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00175,Service deferred-revenue recognition forecast,Contract schedule,Eastbank Data C-1042,2026-06-30,Approved case,Transaction price,1500000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00176,Service deferred-revenue recognition forecast,Contract schedule,Eastbank Data C-1042,2026-06-30,Approved case,Maintenance standalone selling price,720.0,,USD thousands,Finance operating schedule,2026-06-30,
TAX-00177,Service deferred-revenue recognition forecast,Contract schedule,Eastbank Data C-1042,2026-06-30,Approved case,Monitoring standalone selling price,720000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00178,Service deferred-revenue recognition forecast,Contract schedule,Eastbank Data C-1042,2026-06-30,Approved case,Implementation standalone selling price,360000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00179,Service deferred-revenue recognition forecast,Contract schedule,Eastbank Data C-1042,2026-06-30,Approved case,Service coverage start,,2026-04-01,classification,Finance operating schedule,2026-06-30,
TAX-00180,Service deferred-revenue recognition forecast,Contract schedule,Eastbank Data C-1042,2026-06-30,Approved case,Service coverage end,,2027-03-31,classification,Finance operating schedule,2026-06-30,
TAX-00181,Service deferred-revenue recognition forecast,Contract schedule,Eastbank Data C-1042,2026-06-30,Approved case,Implementation completion date,,2026-06-30,classification,Finance operating schedule,2026-06-30,
TAX-00182,Service deferred-revenue recognition forecast,Contract schedule,Eastbank Data C-1042,2026-06-30,Approved case,Cancellation effective date,,None before 2026-12-31,classification,Finance operating schedule,2026-06-30,
TAX-00183,Service deferred-revenue recognition forecast,Contract schedule,Boise Medical C-1110,2026-06-30,Approved case,Cash billed in advance,1020000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00184,Service deferred-revenue recognition forecast,Contract schedule,Boise Medical C-1110,2026-06-30,Approved case,Transaction price,1020.0,,USD thousands,Finance operating schedule,2026-06-30,
TAX-00185,Service deferred-revenue recognition forecast,Contract schedule,Boise Medical C-1110,2026-06-30,Approved case,Maintenance standalone selling price,600000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00186,Service deferred-revenue recognition forecast,Contract schedule,Boise Medical C-1110,2026-06-30,Approved case,Monitoring standalone selling price,300000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00187,Service deferred-revenue recognition forecast,Contract schedule,Boise Medical C-1110,2026-06-30,Approved case,Implementation standalone selling price,300000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00188,Service deferred-revenue recognition forecast,Contract schedule,Boise Medical C-1110,2026-06-30,Approved case,Service coverage start,,2026-06-15,classification,Finance operating schedule,2026-06-30,
TAX-00189,Service deferred-revenue recognition forecast,Contract schedule,Boise Medical C-1110,2026-06-30,Approved case,Service coverage end,,2027-05-31,classification,Finance operating schedule,2026-06-30,
TAX-00190,Service deferred-revenue recognition forecast,Contract schedule,Boise Medical C-1110,2026-06-30,Approved case,Implementation completion date,,2026-08-15,classification,Finance operating schedule,2026-06-30,
TAX-00191,Service deferred-revenue recognition forecast,Contract schedule,Boise Medical C-1110,2026-06-30,Approved case,Cancellation effective date,,None before 2026-12-31,classification,Finance operating schedule,2026-06-30,
TAX-00192,Service deferred-revenue recognition forecast,Contract schedule,Northline Campus C-1124,2026-06-30,Approved case,Cash billed in advance,800.0,,USD thousands,Finance operating schedule,2026-06-30,
TAX-00193,Service deferred-revenue recognition forecast,Contract schedule,Northline Campus C-1124,2026-06-30,Approved case,Transaction price,800000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00194,Service deferred-revenue recognition forecast,Contract schedule,Northline Campus C-1124,2026-06-30,Approved case,Maintenance standalone selling price,360000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00195,Service deferred-revenue recognition forecast,Contract schedule,Northline Campus C-1124,2026-06-30,Approved case,Monitoring standalone selling price,300000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00196,Service deferred-revenue recognition forecast,Contract schedule,Northline Campus C-1124,2026-06-30,Approved case,Implementation standalone selling price,240.0,,USD thousands,Finance operating schedule,2026-06-30,
TAX-00197,Service deferred-revenue recognition forecast,Contract schedule,Northline Campus C-1124,2026-06-30,Approved case,Service coverage start,,2026-09-15,classification,Finance operating schedule,2026-06-30,
TAX-00198,Service deferred-revenue recognition forecast,Contract schedule,Northline Campus C-1124,2026-06-30,Approved case,Service coverage end,,2027-08-31,classification,Finance operating schedule,2026-06-30,
TAX-00199,Service deferred-revenue recognition forecast,Contract schedule,Northline Campus C-1124,2026-06-30,Approved case,Implementation completion date,,2026-10-15,classification,Finance operating schedule,2026-06-30,
TAX-00200,Service deferred-revenue recognition forecast,Contract schedule,Northline Campus C-1124,2026-06-30,Approved case,Cancellation effective date,,None before 2026-12-31,classification,Finance operating schedule,2026-06-30,
TAX-00201,Service deferred-revenue recognition forecast,Contract schedule,Port Authority C-1131,2026-06-30,Approved case,Cash billed in advance,1440000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00202,Service deferred-revenue recognition forecast,Contract schedule,Port Authority C-1131,2026-06-30,Approved case,Transaction price,1440000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00203,Service deferred-revenue recognition forecast,Contract schedule,Port Authority C-1131,2026-06-30,Approved case,Maintenance standalone selling price,480000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00204,Service deferred-revenue recognition forecast,Contract schedule,Port Authority C-1131,2026-06-30,Approved case,Monitoring standalone selling price,360.0,,USD thousands,Finance operating schedule,2026-06-30,
TAX-00205,Service deferred-revenue recognition forecast,Contract schedule,Port Authority C-1131,2026-06-30,Approved case,Implementation standalone selling price,360000.0,,USD,Finance operating schedule,2026-06-30,
TAX-00206,Service deferred-revenue recognition forecast,Contract schedule,Port Authority C-1131,2026-06-30,Approved case,Service coverage start,,2026-08-01,classification,Finance operating schedule,2026-06-30,
TAX-00207,Service deferred-revenue recognition forecast,Contract schedule,Port Authority C-1131,2026-06-30,Approved case,Service coverage end,,2027-01-31,classification,Finance operating schedule,2026-06-30,
TAX-00208,Service deferred-revenue recognition forecast,Contract schedule,Port Authority C-1131,2026-06-30,Approved case,Implementation completion date,,2026-09-01,classification,Finance operating schedule,2026-06-30,
TAX-00209,Service deferred-revenue recognition forecast,Contract schedule,Port Authority C-1131,2026-06-30,Approved case,Cancellation effective date,,None before 2026-12-31,classification,Finance operating schedule,2026-06-30,
