source_ref,workstream,schedule,entity_or_item,period_or_as_of,case,metric_or_driver,numeric_value,text_or_decision,units,source_or_owner,source_date,system_tie
MKT-00052,Public-company trading-comparables valuation,Trading comparables,Peer B,2026-07-01,Approved case,Include in median,1.0,,boolean,Finance operating schedule,2026-06-30,
MKT-00053,Public-company trading-comparables valuation,Trading comparables,Peer C,2026-07-01,Approved case,EV / LTM adjusted EBITDA,10.1,,multiple,Finance operating schedule,2026-06-30,
MKT-00054,Public-company trading-comparables valuation,Trading comparables,Peer C,2026-07-01,Approved case,EV / LTM revenue,1.44,,multiple,Finance operating schedule,2026-06-30,
MKT-00055,Public-company trading-comparables valuation,Trading comparables,Peer C,2026-07-01,Approved case,Include in median,1.0,,boolean,Finance operating schedule,2026-06-30,
MKT-00056,Public-company trading-comparables valuation,Trading comparables,Peer D,2026-07-01,Approved case,EV / LTM adjusted EBITDA,8.9,,multiple,Finance operating schedule,2026-06-30,
MKT-00057,Public-company trading-comparables valuation,Trading comparables,Peer D,2026-07-01,Approved case,EV / LTM revenue,1.26,,multiple,Finance operating schedule,2026-06-30,
MKT-00058,Public-company trading-comparables valuation,Trading comparables,Peer D,2026-07-01,Approved case,Include in median,1.0,,boolean,Finance operating schedule,2026-06-30,
MKT-00059,Public-company trading-comparables valuation,Trading comparables,Peer E,2026-07-01,Approved case,EV / LTM adjusted EBITDA,11.0,,multiple,Finance operating schedule,2026-06-30,
MKT-00060,Public-company trading-comparables valuation,Trading comparables,Peer E,2026-07-01,Approved case,EV / LTM revenue,1.58,,multiple,Finance operating schedule,2026-06-30,
MKT-00061,Public-company trading-comparables valuation,Trading comparables,Peer E,2026-07-01,Approved case,Include in median,1.0,,boolean,Finance operating schedule,2026-06-30,
MKT-00062,Public-company trading-comparables valuation,Trading comparables,Peer F,2026-07-01,Approved case,EV / LTM adjusted EBITDA,17.5,,multiple,Finance operating schedule,2026-06-30,
MKT-00063,Public-company trading-comparables valuation,Trading comparables,Peer F,2026-07-01,Approved case,EV / LTM revenue,3.1,,multiple,Finance operating schedule,2026-06-30,
MKT-00064,Public-company trading-comparables valuation,Trading comparables,Peer F,2026-07-01,Approved case,Include in median,0.0,,boolean,Finance operating schedule,2026-06-30,
MKT-00065,Public-company trading-comparables valuation,Trading comparables,Peer G,2026-07-01,Approved case,EV / LTM adjusted EBITDA,9.7,,multiple,Finance operating schedule,2026-06-30,
MKT-00066,Public-company trading-comparables valuation,Trading comparables,Peer G,2026-07-01,Approved case,EV / LTM revenue,1.38,,multiple,Finance operating schedule,2026-06-30,
MKT-00067,Public-company trading-comparables valuation,Trading comparables,Peer G,2026-07-01,Approved case,Include in median,1.0,,boolean,Finance operating schedule,2026-06-30,
MKT-00083,Competitor operating benchmark,Peer operating benchmarks,Peer A,LTM 2026-06-30,Approved case,Organic growth,0.061,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00084,Competitor operating benchmark,Peer operating benchmarks,Peer A,LTM 2026-06-30,Approved case,Gross margin,0.262,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00085,Competitor operating benchmark,Peer operating benchmarks,Peer A,LTM 2026-06-30,Approved case,Adjusted EBITDA margin,0.114,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00086,Competitor operating benchmark,Peer operating benchmarks,Peer A,LTM 2026-06-30,Approved case,Capex intensity,0.029,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00087,Competitor operating benchmark,Peer operating benchmarks,Peer A,LTM 2026-06-30,Approved case,Cash conversion,0.74,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00088,Competitor operating benchmark,Peer operating benchmarks,Peer B,LTM 2026-06-30,Approved case,Organic growth,0.078,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00089,Competitor operating benchmark,Peer operating benchmarks,Peer B,LTM 2026-06-30,Approved case,Gross margin,0.281,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00090,Competitor operating benchmark,Peer operating benchmarks,Peer B,LTM 2026-06-30,Approved case,Adjusted EBITDA margin,0.132,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00091,Competitor operating benchmark,Peer operating benchmarks,Peer B,LTM 2026-06-30,Approved case,Capex intensity,0.024,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00092,Competitor operating benchmark,Peer operating benchmarks,Peer B,LTM 2026-06-30,Approved case,Cash conversion,0.86,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00093,Competitor operating benchmark,Peer operating benchmarks,Peer C,LTM 2026-06-30,Approved case,Organic growth,0.092,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00094,Competitor operating benchmark,Peer operating benchmarks,Peer C,LTM 2026-06-30,Approved case,Gross margin,0.273,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00095,Competitor operating benchmark,Peer operating benchmarks,Peer C,LTM 2026-06-30,Approved case,Adjusted EBITDA margin,0.126,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00096,Competitor operating benchmark,Peer operating benchmarks,Peer C,LTM 2026-06-30,Approved case,Capex intensity,0.021,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00097,Competitor operating benchmark,Peer operating benchmarks,Peer C,LTM 2026-06-30,Approved case,Cash conversion,0.81,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00098,Competitor operating benchmark,Peer operating benchmarks,Peer D,LTM 2026-06-30,Approved case,Organic growth,0.055,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00099,Competitor operating benchmark,Peer operating benchmarks,Peer D,LTM 2026-06-30,Approved case,Gross margin,0.289,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00100,Competitor operating benchmark,Peer operating benchmarks,Peer D,LTM 2026-06-30,Approved case,Adjusted EBITDA margin,0.141,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00101,Competitor operating benchmark,Peer operating benchmarks,Peer D,LTM 2026-06-30,Approved case,Capex intensity,0.026,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00102,Competitor operating benchmark,Peer operating benchmarks,Peer D,LTM 2026-06-30,Approved case,Cash conversion,0.9,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00103,Competitor operating benchmark,Peer operating benchmarks,Peer E,LTM 2026-06-30,Approved case,Organic growth,0.084,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00104,Competitor operating benchmark,Peer operating benchmarks,Peer E,LTM 2026-06-30,Approved case,Gross margin,0.276,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00105,Competitor operating benchmark,Peer operating benchmarks,Peer E,LTM 2026-06-30,Approved case,Adjusted EBITDA margin,0.129,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00106,Competitor operating benchmark,Peer operating benchmarks,Peer E,LTM 2026-06-30,Approved case,Capex intensity,0.023,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00107,Competitor operating benchmark,Peer operating benchmarks,Peer E,LTM 2026-06-30,Approved case,Cash conversion,0.84,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00108,Competitor operating benchmark,Peer operating benchmarks,Peer F,LTM 2026-06-30,Approved case,Organic growth,0.11,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00109,Competitor operating benchmark,Peer operating benchmarks,Peer F,LTM 2026-06-30,Approved case,Gross margin,0.301,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00110,Competitor operating benchmark,Peer operating benchmarks,Peer F,LTM 2026-06-30,Approved case,Adjusted EBITDA margin,0.162,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00111,Competitor operating benchmark,Peer operating benchmarks,Peer F,LTM 2026-06-30,Approved case,Capex intensity,0.018,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00112,Competitor operating benchmark,Peer operating benchmarks,Peer F,LTM 2026-06-30,Approved case,Cash conversion,0.96,,decimal ratio,Finance operating schedule,2026-06-30,
MKT-00163,Peer valuation multiple bridge,Peer valuation set,Peer A,2026-07-01,Approved case,EV / LTM adjusted EBITDA,8.8,,multiple,Finance operating schedule,2026-06-30,
MKT-00164,Peer valuation multiple bridge,Peer valuation set,Peer B,2026-07-01,Approved case,EV / LTM adjusted EBITDA,9.1,,multiple,Finance operating schedule,2026-06-30,
MKT-00165,Peer valuation multiple bridge,Peer valuation set,Peer C,2026-07-01,Approved case,EV / LTM adjusted EBITDA,9.6,,multiple,Finance operating schedule,2026-06-30,
MKT-00166,Peer valuation multiple bridge,Peer valuation set,Peer D,2026-07-01,Approved case,EV / LTM adjusted EBITDA,10.0,,multiple,Finance operating schedule,2026-06-30,
MKT-00167,Peer valuation multiple bridge,Peer valuation set,Peer E,2026-07-01,Approved case,EV / LTM adjusted EBITDA,9.4,,multiple,Finance operating schedule,2026-06-30,
MKT-00168,Peer valuation multiple bridge,Peer valuation set,Peer F,2026-07-01,Approved case,EV / LTM adjusted EBITDA,10.3,,multiple,Finance operating schedule,2026-06-30,
