review_ref,review_date,operating_area,review_event,review_status,accountable_owner,financial_effect,review_measure,probability_or_decision,cash_conversion,earliest_supported_period,evidence_condition,review_record,review_cutoff
FIN-REV-018,2026-07-05,Controls mix,M-SENS,Sensitivity only - not approved,VP Controls,EBITDA and cash,Realization probability,0.7,0.8,2026-Q4,Upside case only,CFO sensitivity workpaper,2026-07-05
FIN-REV-019,2026-06-26,Collections timing,R-0626,Initial owner estimate,Controller,Cash only,Realization probability,0.75,1.0,2026-Q3,Initial customer-call evidence pending,Owner action submission,2026-07-05
FIN-REV-020,2026-06-29,Collections timing,R-0629,CFO scratch estimate,Controller,Cash only,Realization probability,0.78,1.0,2026-Q3,Expected receipt dates unconfirmed,CFO working notes,2026-07-05
FIN-REV-021,2026-07-01,Collections timing,R-0701,Owner proposal - not approved,Controller,Cash only,Realization probability,0.85,1.0,2026-Q3,Partial confirmations received,Owner action submission,2026-07-05
FIN-REV-022,2026-07-03,Collections timing,R-0703,Finance challenge draft,Controller,Cash only,Realization probability,0.7,1.0,2026-Q3,Receipt-date validation open,Finance challenge worksheet,2026-07-05
FIN-REV-023,2026-07-05,Collections timing,R-0705,Final finance view,Controller,Cash only,Realization probability,0.8,1.0,2026-Q3,Customer receipt evidence pending,Finance operating-recovery review,2026-07-05
FIN-REV-024,2026-07-05,Collections timing,R-SENS,Sensitivity only - not approved,Controller,Cash only,Realization probability,0.9,1.0,2026-Q3,Upside case only,CFO sensitivity workpaper,2026-07-05
FIN-REV-025,2026-06-26,Guidance protection action register,A-0626,Initial owner estimate,CFO,Guidance governance,Activation decision,Not submitted,,2026-Q3,Working proposal only,Operating owners,2026-07-05
FIN-REV-026,2026-06-29,Guidance protection action register,A-0629,CFO scratch estimate,CFO,Guidance governance,Activation decision,No,,2026-Q3,No approval record attached,CFO working notes,2026-07-05
FIN-REV-027,2026-07-01,Guidance protection action register,A-0701,Owner proposal - not approved,CFO,Guidance governance,Activation decision,Requested,,2026-Q3,Awaiting Finance review,Owner action submission,2026-07-05
FIN-REV-028,2026-07-05,Guidance protection action register,A-0705,Final finance view,CFO,Guidance governance,Activation decision,No,,2026-Q3,Approval not on file,Finance operating-recovery review,2026-07-05
FIN-REV-029,2026-07-05,Guidance protection action register,A-SENS,Sensitivity only - not approved,CFO,Guidance governance,Activation decision,Yes,,2026-Q3,Hypothetical activation case,CFO sensitivity workpaper,2026-07-05
