record_ref,operating_area,record_id,record_date,record_status,field,value,units,supporting_record,reviewed_through
OPS-Q2-030,Service field operations,Route batch W27,2026-07-03,Posted,Paid route hours,850.0,hours,July payroll workfile,2026-07-05
OPS-Q2-031,Service field operations,Route batch W27,2026-07-03,Posted,Completed-route standard hours,800.0,hours,July completed-route file,2026-07-05
OPS-Q2-032,Service field operations,June safety training,2026-06-16,Posted,Paid non-route hours,780.0,hours,Training attendance and payroll coding review,2026-07-05
OPS-Q2-033,Controls project accounting,CTL-418,2026-06-12,Approved,Revenue reclassified from install to commissioning,160000.0,USD,Approved June project-status register,2026-07-05
OPS-Q2-034,Controls project accounting,CTL-421,2026-06-18,Approved,Revenue reclassified from install to commissioning,125000.0,USD,Approved June project-status register,2026-07-05
OPS-Q2-035,Controls project accounting,CTL-427,2026-06-24,Approved,Revenue reclassified from install to commissioning,105000.0,USD,Approved June project-status register,2026-07-05
OPS-Q2-036,Controls project accounting,CTL-433,2026-06-29,Approved,Revenue reclassified from install to commissioning,85000.0,USD,Approved June project-status register,2026-07-05
OPS-Q2-037,Controls project accounting,June margin basis,2026-06-30,Approved June margin basis,Install contribution margin,0.35,decimal ratio,June controls project margin review,2026-07-05
OPS-Q2-038,Controls project accounting,June margin basis,2026-06-30,Approved June margin basis,Commissioning contribution margin,0.15,decimal ratio,June controls project margin review,2026-07-05
OPS-Q2-039,Controls project accounting,CTL-439,2026-06-28,Draft scope review,Revenue reclassified from install to commissioning,95000.0,USD,Unsigned project review note,2026-07-05
OPS-Q2-040,Controls project accounting,CTL-444,2026-07-01,Approved,Revenue reclassified from install to commissioning,110000.0,USD,July project-status register,2026-07-05
OPS-Q2-041,Controls project accounting,CTL-402,2026-06-07,Reviewed - no change,Revenue reviewed for scope classification,75000.0,USD,June project-status register review,2026-07-05
OPS-Q2-042,Accounts receivable,INV-78214,2026-07-01,Remittance confirmed,June 30 open invoice balance,120000.0,USD,Customer remittance email and cash application log,2026-07-05
OPS-Q2-043,Accounts receivable,INV-78302,2026-07-01,Remittance confirmed,June 30 open invoice balance,95000.0,USD,Customer remittance email and cash application log,2026-07-05
OPS-Q2-044,Accounts receivable,INV-78511,2026-07-02,Remittance confirmed,June 30 open invoice balance,75000.0,USD,Customer remittance email and cash application log,2026-07-05
OPS-Q2-045,Accounts receivable,INV-78644,2026-07-03,Remittance confirmed,June 30 open invoice balance,70000.0,USD,Customer remittance email and cash application log,2026-07-05
OPS-Q2-046,Accounts receivable,INV-78088,2026-06-29,Cleared in June,June 30 open invoice balance,85000.0,USD,June bank settlement and cash application log,2026-07-05
OPS-Q2-047,Accounts receivable,INV-78419,2026-07-02,Disputed; no remittance confirmation,June 30 open invoice balance,65000.0,USD,Customer dispute correspondence,2026-07-05
OPS-Q2-048,Accounts receivable,INV-78703,2026-07-02,Remittance confirmed,July invoice balance,110000.0,USD,July billing register,2026-07-05
